round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,batch_size,epochs,optimizer,loss,last_activation
14,0.2060135375093458,0.6760431654682385,0.2043746419656965,0.678076630562569,3.0,32,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
22,0.2070461308380315,0.6747276464542652,0.20609853160354608,0.6755894262973626,1.0,2,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
105,0.20673015143986473,0.6745529290853032,0.20609239258426354,0.675774424966162,0.1,128,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
35,0.20706523568755186,0.6734840698857224,0.20649627319046124,0.674330407614948,0.5,2,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
20,0.20649301933482642,0.6761459403911573,0.20507516410873272,0.6776603835651217,1.5,32,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
7,0.20836367501016756,0.6754779033915724,0.2061015515787491,0.6761187280277331,3.0,128,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
8,0.20677636053554813,0.6744809866398727,0.2062719011478168,0.6747620711652698,1.5,256,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
15,0.20672853729830248,0.6744707091494185,0.20622645033374004,0.6750755411210919,1.5,2,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
7,0.2069354422633964,0.6746968139780021,0.20608548008784716,0.6752605397898912,3.0,256,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
47,0.2059423093303257,0.6769373072976321,0.20513796048550648,0.6773571913054983,0.5,32,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
8,0.20805837838524782,0.6746659815011264,0.20644541114508064,0.6748288762346687,3.0,2,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
19,0.20681309412586726,0.6742137718402837,0.20610003344970862,0.6749008201582929,0.5,256,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
1231,0.20698353485482815,0.6741932168557,0.20625149736812606,0.6755328989253877,0.01,32,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
1243,0.20689354803187263,0.6737923946557041,0.20644142174809468,0.674350963023273,0.01,2,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
18,0.20669782850994725,0.6744707091494185,0.20597604428672572,0.6751988735624658,1.0,32,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
19,0.20697436077131642,0.6738746145964895,0.20620086457776438,0.6747209603535205,0.5,128,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
140,0.20683523684096852,0.6741932168557,0.206230491577725,0.6752759563415405,0.1,2,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
20,0.2060167229910671,0.6763206577595067,0.2053362110268972,0.6779481592608438,1.0,256,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
25,0.20600783192486583,0.6769270298047276,0.20477730839787248,0.6783901005122651,1.0,128,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
62,0.2070408142262348,0.6734224049331963,0.20644859857908532,0.6745770724976956,0.1,256,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
720,0.20707120625235195,0.6735149023638233,0.20636368390204038,0.6743304076137228,0.01,256,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
789,0.20683430871640054,0.6743576567317574,0.2062550838671058,0.6752040124142407,0.01,128,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
106,0.20725094965035967,0.6727749229194204,0.20676044483946054,0.6733386092223809,0.1,32,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
7,0.20723688372360105,0.6732682425488181,0.20644604286316054,0.674402351543473,1.5,128,64,100000,<class 'keras.optimizers.SGD'>,<function mean_squared_error at 0x000001DB0CBB9AE8>,<function sigmoid at 0x000001DB0CC05048>
